代码,名称,成交额,涨跌幅,交易日期,备注,空白列
630427,样例股份427,"1,426",6.0%,2023/3/7,批量426,
630428,样例股份428,"1,427",7.0%,2023/3/8,批量427,   
630429,样例股份429,"1,428",8.0%,2023/3/9,批量428,
630430,样例股份430,"1,429",9.0%,2023/3/10,批量429,   
630431,样例股份431,"1,430",0.0%,2023/3/11,批量430,
630432,样例股份432,"1,431",1.0%,2023/3/12,批量431,   
630433,样例股份433,"1,432",2.0%,2023/3/13,批量432,
630434,样例股份434,"1,433",3.0%,2023/3/14,批量433,   
630435,样例股份435,"1,434",4.0%,2023/3/15,批量434,
630436,样例股份436,"1,435",5.0%,2023/3/16,批量435,   
630437,样例股份437,"1,436",6.0%,2023/3/17,批量436,
630438,样例股份438,"1,437",7.0%,2023/3/18,批量437,   
630439,样例股份439,"1,438",8.0%,2023/3/19,批量438,
630440,样例股份440,"1,439",9.0%,2023/3/20,批量439,   
630441,样例股份441,"1,440",0.0%,2023/3/21,批量440,
630442,样例股份442,"1,441",1.0%,2023/3/22,批量441,   
630443,样例股份443,"1,442",2.0%,2023/3/23,批量442,
630444,样例股份444,"1,443",3.0%,2023/3/24,批量443,   
630445,样例股份445,"1,444",4.0%,2023/3/25,批量444,
630446,样例股份446,"1,445",5.0%,2023/3/26,批量445,   
630447,样例股份447,"1,446",6.0%,2023/3/27,批量446,
630448,样例股份448,"1,447",7.0%,2023/3/28,批量447,   
630449,样例股份449,"1,448",8.0%,2023/3/1,批量448,
630450,样例股份450,"1,449",9.0%,2023/3/2,批量449,   
630451,样例股份451,"1,450",0.0%,2023/3/3,批量450,
630452,样例股份452,"1,451",1.0%,2023/3/4,批量451,   
630453,样例股份453,"1,452",2.0%,2023/3/5,批量452,
630454,样例股份454,"1,453",3.0%,2023/3/6,批量453,   
630455,样例股份455,"1,454",4.0%,2023/3/7,批量454,
630456,样例股份456,"1,455",5.0%,2023/3/8,批量455,   
630457,样例股份457,"1,456",6.0%,2023/3/9,批量456,
630458,样例股份458,"1,457",7.0%,2023/3/10,批量457,   
630459,样例股份459,"1,458",8.0%,2023/3/11,批量458,
630460,样例股份460,"1,459",9.0%,2023/3/12,批量459,   
630461,样例股份461,"1,460",0.0%,2023/3/13,批量460,
630462,样例股份462,"1,461",1.0%,2023/3/14,批量461,   
630463,样例股份463,"1,462",2.0%,2023/3/15,批量462,
630464,样例股份464,"1,463",3.0%,2023/3/16,批量463,   
630465,样例股份465,"1,464",4.0%,2023/3/17,批量464,
630466,样例股份466,"1,465",5.0%,2023/3/18,批量465,   
630467,样例股份467,"1,466",6.0%,2023/3/19,批量466,
630468,样例股份468,"1,467",7.0%,2023/3/20,批量467,   
630469,样例股份469,"1,468",8.0%,2023/3/21,批量468,
630470,样例股份470,"1,469",9.0%,2023/3/22,批量469,   
630471,样例股份471,"1,470",0.0%,2023/3/23,批量470,
630472,样例股份472,"1,471",1.0%,2023/3/24,批量471,   
630473,样例股份473,"1,472",2.0%,2023/3/25,批量472,
630474,样例股份474,"1,473",3.0%,2023/3/26,批量473,   
630475,样例股份475,"1,474",4.0%,2023/3/27,批量474,
630476,样例股份476,"1,475",5.0%,2023/3/28,批量475,   
630477,样例股份477,"1,476",6.0%,2023/3/1,批量476,
630478,样例股份478,"1,477",7.0%,2023/3/2,批量477,   
630479,样例股份479,"1,478",8.0%,2023/3/3,批量478,
630480,样例股份480,"1,479",9.0%,2023/3/4,批量479,   
630481,样例股份481,"1,480",0.0%,2023/3/5,批量480,
630482,样例股份482,"1,481",1.0%,2023/3/6,批量481,   
630483,样例股份483,"1,482",2.0%,2023/3/7,批量482,
630484,样例股份484,"1,483",3.0%,2023/3/8,批量483,   
630485,样例股份485,"1,484",4.0%,2023/3/9,批量484,
630486,样例股份486,"1,485",5.0%,2023/3/10,批量485,   
630487,样例股份487,"1,486",6.0%,2023/3/11,批量486,
630488,样例股份488,"1,487",7.0%,2023/3/12,批量487,   
630489,样例股份489,"1,488",8.0%,2023/3/13,批量488,
630490,样例股份490,"1,489",9.0%,2023/3/14,批量489,   
630491,样例股份491,"1,490",0.0%,2023/3/15,批量490,
630492,样例股份492,"1,491",1.0%,2023/3/16,批量491,   
630493,样例股份493,"1,492",2.0%,2023/3/17,批量492,
630494,样例股份494,"1,493",3.0%,2023/3/18,批量493,   
630495,样例股份495,"1,494",4.0%,2023/3/19,批量494,
630496,样例股份496,"1,495",5.0%,2023/3/20,批量495,   
630497,样例股份497,"1,496",6.0%,2023/3/21,批量496,
630498,样例股份498,"1,497",7.0%,2023/3/22,批量497,   
630499,样例股份499,"1,498",8.0%,2023/3/23,批量498,
630500,样例股份500,"1,499",9.0%,2023/3/24,批量499,   
630501,样例股份501,"1,500",0.0%,2023/3/25,批量500,
630502,样例股份502,"1,501",1.0%,2023/3/26,批量501,   
630503,样例股份503,"1,502",2.0%,2023/3/27,批量502,
630504,样例股份504,"1,503",3.0%,2023/3/28,批量503,   
630505,样例股份505,"1,504",4.0%,2023/3/1,批量504,
630506,样例股份506,"1,505",5.0%,2023/3/2,批量505,   
630507,样例股份507,"1,506",6.0%,2023/3/3,批量506,
630508,样例股份508,"1,507",7.0%,2023/3/4,批量507,   
630509,样例股份509,"1,508",8.0%,2023/3/5,批量508,
630510,样例股份510,"1,509",9.0%,2023/3/6,批量509,   
630511,样例股份511,"1,510",0.0%,2023/3/7,批量510,
630512,样例股份512,"1,511",1.0%,2023/3/8,批量511,   
630513,样例股份513,"1,512",2.0%,2023/3/9,批量512,
630514,样例股份514,"1,513",3.0%,2023/3/10,批量513,   
630515,样例股份515,"1,514",4.0%,2023/3/11,批量514,
630516,样例股份516,"1,515",5.0%,2023/3/12,批量515,   
630517,样例股份517,"1,516",6.0%,2023/3/13,批量516,
630518,样例股份518,"1,517",7.0%,2023/3/14,批量517,   
630519,样例股份519,"1,518",8.0%,2023/3/15,批量518,
630520,样例股份520,"1,519",9.0%,2023/3/16,批量519,   
630521,样例股份521,"1,520",0.0%,2023/3/17,批量520,
630522,样例股份522,"1,521",1.0%,2023/3/18,批量521,   
630523,样例股份523,"1,522",2.0%,2023/3/19,批量522,
630524,样例股份524,"1,523",3.0%,2023/3/20,批量523,   
630525,样例股份525,"1,524",4.0%,2023/3/21,批量524,
630526,样例股份526,"1,525",5.0%,2023/3/22,批量525,   
630527,样例股份527,"1,526",6.0%,2023/3/23,批量526,
630528,样例股份528,"1,527",7.0%,2023/3/24,批量527,   
630529,样例股份529,"1,528",8.0%,2023/3/25,批量528,
630530,样例股份530,"1,529",9.0%,2023/3/26,批量529,   
630531,样例股份531,"1,530",0.0%,2023/3/27,批量530,
630532,样例股份532,"1,531",1.0%,2023/3/28,批量531,   
630533,样例股份533,"1,532",2.0%,2023/3/1,批量532,
630534,样例股份534,"1,533",3.0%,2023/3/2,批量533,   
630535,样例股份535,"1,534",4.0%,2023/3/3,批量534,
630536,样例股份536,"1,535",5.0%,2023/3/4,批量535,   
630537,样例股份537,"1,536",6.0%,2023/3/5,批量536,
630538,样例股份538,"1,537",7.0%,2023/3/6,批量537,   
630539,样例股份539,"1,538",8.0%,2023/3/7,批量538,
630540,样例股份540,"1,539",9.0%,2023/3/8,批量539,   
630541,样例股份541,"1,540",0.0%,2023/3/9,批量540,
630542,样例股份542,"1,541",1.0%,2023/3/10,批量541,   
630543,样例股份543,"1,542",2.0%,2023/3/11,批量542,
630544,样例股份544,"1,543",3.0%,2023/3/12,批量543,   
630545,样例股份545,"1,544",4.0%,2023/3/13,批量544,
630546,样例股份546,"1,545",5.0%,2023/3/14,批量545,   
630547,样例股份547,"1,546",6.0%,2023/3/15,批量546,
630548,样例股份548,"1,547",7.0%,2023/3/16,批量547,   
630549,样例股份549,"1,548",8.0%,2023/3/17,批量548,
630550,样例股份550,"1,549",9.0%,2023/3/18,批量549,   
630551,样例股份551,"1,550",0.0%,2023/3/19,批量550,
630552,样例股份552,"1,551",1.0%,2023/3/20,批量551,   
630553,样例股份553,"1,552",2.0%,2023/3/21,批量552,
630554,样例股份554,"1,553",3.0%,2023/3/22,批量553,   
630555,样例股份555,"1,554",4.0%,2023/3/23,批量554,
630556,样例股份556,"1,555",5.0%,2023/3/24,批量555,   
630557,样例股份557,"1,556",6.0%,2023/3/25,批量556,
630558,样例股份558,"1,557",7.0%,2023/3/26,批量557,   
630559,样例股份559,"1,558",8.0%,2023/3/27,批量558,
630560,样例股份560,"1,559",9.0%,2023/3/28,批量559,   
630561,样例股份561,"1,560",0.0%,2023/3/1,批量560,
630562,样例股份562,"1,561",1.0%,2023/3/2,批量561,   
630563,样例股份563,"1,562",2.0%,2023/3/3,批量562,
630564,样例股份564,"1,563",3.0%,2023/3/4,批量563,   
630565,样例股份565,"1,564",4.0%,2023/3/5,批量564,
630566,样例股份566,"1,565",5.0%,2023/3/6,批量565,   
630567,样例股份567,"1,566",6.0%,2023/3/7,批量566,
630568,样例股份568,"1,567",7.0%,2023/3/8,批量567,   
630569,样例股份569,"1,568",8.0%,2023/3/9,批量568,
630570,样例股份570,"1,569",9.0%,2023/3/10,批量569,   
630571,样例股份571,"1,570",0.0%,2023/3/11,批量570,
630572,样例股份572,"1,571",1.0%,2023/3/12,批量571,   
630573,样例股份573,"1,572",2.0%,2023/3/13,批量572,
630574,样例股份574,"1,573",3.0%,2023/3/14,批量573,   
630575,样例股份575,"1,574",4.0%,2023/3/15,批量574,
630576,样例股份576,"1,575",5.0%,2023/3/16,批量575,   
630577,样例股份577,"1,576",6.0%,2023/3/17,批量576,
630578,样例股份578,"1,577",7.0%,2023/3/18,批量577,   
630579,样例股份579,"1,578",8.0%,2023/3/19,批量578,
630580,样例股份580,"1,579",9.0%,2023/3/20,批量579,   
630581,样例股份581,"1,580",0.0%,2023/3/21,批量580,
630582,样例股份582,"1,581",1.0%,2023/3/22,批量581,   
630583,样例股份583,"1,582",2.0%,2023/3/23,批量582,
630584,样例股份584,"1,583",3.0%,2023/3/24,批量583,   
630585,样例股份585,"1,584",4.0%,2023/3/25,批量584,
